Timestamp,Hour,Temperature_C,Humidity_pct,Wind_Speed_ms,Cloud_Cover_pct,Solar_Irradiance_Wm2,Solar_MW,Wind_MW,Residential_Load_MW,Commercial_Load_MW,Industrial_Load_MW,Critical_Load_MW
2019-01-01 00:00:00,0,33.69,92.26,9.6,45.65,0.0,0.0,0.8,0.749416,0.089464,0.261852,0.40217
2019-01-01 01:00:00,1,32.92,85.8,9.18,43.99,0.0,0.0,0.8,0.509909,0.085181,0.255747,0.391442
2019-01-01 02:00:00,2,32.99,87.9,9.32,40.13,0.0,0.0,0.8,0.508599,0.086347,0.257424,0.407409
2019-01-01 03:00:00,3,34.17,83.1,9.95,42.26,0.0,0.0,0.8,0.580219,0.089109,0.262235,0.403527
2019-01-01 04:00:00,4,32.54,84.72,8.22,42.92,0.0,0.0,0.527394,0.675231,0.087806,0.389606,0.392948
2019-01-01 05:00:00,5,35.4,83.5,10.11,47.39,0.0,0.0,0.500948,0.917102,0.179437,0.779396,0.398763
2019-01-01 06:00:00,6,34.68,86.07,8.26,42.78,504.86,0.0,0.538581,1.271916,0.353748,1.033088,0.399697
2019-01-01 07:00:00,7,35.23,88.37,9.98,44.61,524.62,0.119329,0.8,1.339024,0.634018,1.21942,0.400076
2019-01-01 08:00:00,8,33.83,90.31,9.2,40.44,501.32,0.227811,0.8,1.255478,0.80955,1.325486,0.401258
2019-01-01 09:00:00,9,35.76,88.15,10.62,48.63,504.14,0.302966,0.8,1.123809,0.885903,1.265679,0.401382
2019-01-01 10:00:00,10,32.67,86.13,11.11,42.9,524.22,0.40456,0.8,0.862512,0.834263,1.266956,0.39603
2019-01-01 11:00:00,11,34.2,83.27,9.95,48.75,496.3,0.406999,0.8,0.910633,0.883921,1.326902,0.396362
2019-01-01 12:00:00,12,34.72,88.11,9.68,48.02,504.42,0.430902,0.8,0.943021,0.898184,1.324383,0.398538
2019-01-01 13:00:00,13,32.89,89.67,10.3,49.04,486.1,0.397669,0.8,0.898878,0.849119,1.311765,0.405229
2019-01-01 14:00:00,14,32.56,91.73,11.3,46.0,506.25,0.380905,0.8,1.07133,0.892457,1.60199,0.40339
2019-01-01 15:00:00,15,32.21,84.37,10.49,46.59,537.54,0.328623,0.8,1.163274,0.753554,1.304763,0.405074
2019-01-01 16:00:00,16,34.46,83.69,9.96,42.32,496.74,0.222366,0.8,1.41323,0.710442,1.310741,0.405814
2019-01-01 17:00:00,17,32.97,89.98,9.57,39.91,536.89,0.126818,0.8,1.561309,0.619241,1.166176,0.403108
2019-01-01 18:00:00,18,33.46,84.45,9.85,49.03,541.95,0.0,0.8,1.749552,0.426373,1.062119,0.400205
2019-01-01 19:00:00,19,35.0,86.35,9.03,47.76,0.0,0.0,0.8,1.589384,0.269259,0.816755,0.400029
2019-01-01 20:00:00,20,35.37,91.66,8.81,43.42,0.0,0.0,0.72544,1.427526,0.176813,0.516994,0.401429
2019-01-01 21:00:00,21,32.34,90.98,8.85,40.94,0.0,0.0,0.742203,1.242303,0.08462,0.409391,0.407374
2019-01-01 22:00:00,22,36.09,87.92,8.78,47.62,0.0,0.0,0.714227,1.038986,0.092309,0.266229,0.398729
2019-01-01 23:00:00,23,35.05,89.36,8.69,49.22,0.0,0.0,0.682788,0.840251,0.092007,0.262313,0.39488
2019-01-02 00:00:00,0,28.42,77.92,7.4,71.24,0.0,0.0,0.316466,0.62862,0.081506,0.22894,0.395902
2019-01-02 01:00:00,1,30.1,80.74,8.54,77.19,0.0,0.0,0.63118,0.501555,0.087314,0.252218,0.403639
2019-01-02 02:00:00,2,28.65,83.18,7.37,76.69,0.0,0.0,0.308138,0.527201,0.08058,0.25845,0.392192
2019-01-02 03:00:00,3,29.91,86.37,9.12,72.79,0.0,0.0,0.8,0.495045,0.084494,0.256902,0.398142
2019-01-02 04:00:00,4,31.62,79.57,7.55,77.8,0.0,0.0,0.348606,0.69739,0.085492,0.37363,0.397759
2019-01-02 05:00:00,5,31.59,86.66,8.14,74.56,0.0,0.0,0.502286,0.908512,0.169572,0.763562,0.401046
2019-01-02 06:00:00,6,30.38,85.02,7.95,79.79,575.8,0.0,0.449921,1.195652,0.336364,1.013689,0.402381
2019-01-02 07:00:00,7,30.16,79.69,8.28,77.56,612.12,0.101642,0.545598,1.331756,0.572468,1.125924,0.397291
2019-01-02 08:00:00,8,31.91,80.27,8.15,72.26,613.03,0.208336,0.507093,1.198458,0.755226,1.259623,0.400928
2019-01-02 09:00:00,9,32.31,80.5,8.93,78.96,631.6,0.282021,0.771025,0.992173,0.84764,1.284852,0.405901
2019-01-02 10:00:00,10,31.99,77.87,9.39,70.95,583.75,0.348403,0.8,0.855397,0.830524,1.279902,0.406131
2019-01-02 11:00:00,11,29.51,85.44,9.02,80.47,538.1,0.322582,0.8,0.839085,0.853213,1.26702,0.400217
2019-01-02 12:00:00,12,31.15,81.3,9.93,76.68,627.0,0.406241,0.8,0.917112,0.829618,1.243632,0.397602
2019-01-02 13:00:00,13,30.7,77.53,10.66,80.7,606.7,0.362737,0.8,0.852686,0.849816,1.269007,0.405907
2019-01-02 14:00:00,14,31.83,77.21,8.73,74.6,617.94,0.35474,0.696836,0.941331,0.864954,1.260333,0.404951
2019-01-02 15:00:00,15,28.59,85.4,10.2,80.83,636.54,0.278168,0.8,1.146556,0.722546,1.209978,0.402142
2019-01-02 16:00:00,16,29.8,77.89,9.75,76.04,614.11,0.200362,0.8,1.432257,0.68482,1.234311,0.403886
2019-01-02 17:00:00,17,31.38,82.96,9.59,72.96,550.52,0.032706,0.8,1.453817,0.569258,1.138367,0.40287
2019-01-02 18:00:00,18,29.95,82.98,9.64,80.33,551.59,0.0,0.8,1.558742,0.417714,1.011337,0.399869
2019-01-02 19:00:00,19,30.9,79.16,7.78,72.12,0.0,0.0,0.403425,1.530199,0.246623,0.746293,0.395763
2019-01-02 20:00:00,20,31.03,78.48,7.7,71.24,0.0,0.0,0.383813,1.334793,0.164097,0.497133,0.395208
2019-01-02 21:00:00,21,28.52,84.75,8.57,71.65,0.0,0.0,0.639447,1.15366,0.08241,0.377068,0.40303
2019-01-02 22:00:00,22,29.84,81.6,8.55,74.52,0.0,0.0,0.632824,1.023047,0.083851,0.265391,0.404478
2019-01-02 23:00:00,23,30.49,79.18,7.85,74.61,0.0,0.0,0.422792,0.813051,0.081658,0.25884,0.403527
2019-01-03 00:00:00,0,32.4,81.43,9.77,78.28,0.0,0.0,0.8,0.672213,0.084211,0.263202,0.394761
2019-01-03 01:00:00,1,31.83,90.43,9.91,74.78,0.0,0.0,0.8,0.504531,0.085494,0.255937,0.396544
2019-01-03 02:00:00,2,34.0,81.37,9.74,76.51,0.0,0.0,0.8,0.527805,0.086468,0.26108,0.401094
2019-01-03 03:00:00,3,31.09,87.25,10.55,77.98,0.0,0.0,0.8,0.49785,0.086207,0.251799,0.39278
2019-01-03 04:00:00,4,31.38,81.71,9.92,75.3,0.0,0.0,0.8,0.751957,0.081852,0.379465,0.39837
2019-01-03 05:00:00,5,30.66,90.46,9.34,80.51,0.0,0.0,0.8,0.872141,0.175733,0.730642,0.396812
2019-01-03 06:00:00,6,34.13,88.87,10.63,73.65,698.83,0.0,0.8,1.254922,0.362798,1.052522,0.400455
2019-01-03 07:00:00,7,31.22,82.2,9.34,80.56,692.26,0.111085,0.8,1.337775,0.602885,1.135373,0.405204
2019-01-03 08:00:00,8,32.26,83.58,10.8,77.44,648.97,0.208463,0.8,1.240892,0.771695,1.260986,0.401148
2019-01-03 09:00:00,9,32.92,83.91,9.85,80.35,687.75,0.30223,0.8,1.013786,0.868578,1.264218,0.396732
2019-01-03 10:00:00,10,30.54,86.26,11.31,81.18,659.95,0.351788,0.8,0.889936,0.838839,1.258696,0.397789
2019-01-03 11:00:00,11,32.97,87.5,11.04,74.93,660.31,0.421284,0.8,0.806052,0.893759,1.318727,0.399778
2019-01-03 12:00:00,12,32.43,86.68,10.1,81.13,718.96,0.442768,0.8,0.869625,0.869769,1.299692,0.395441
2019-01-03 13:00:00,13,33.35,89.91,11.95,76.92,637.07,0.397634,0.8,0.87664,0.893832,1.267624,0.406118
2019-01-03 14:00:00,14,33.62,80.61,10.73,76.39,679.48,0.382477,0.8,1.086877,0.84783,1.254051,0.398957
2019-01-03 15:00:00,15,31.11,85.55,10.79,81.56,661.98,0.286835,0.8,1.176914,0.747888,1.340294,0.400237
2019-01-03 16:00:00,16,31.25,89.54,10.2,74.32,629.4,0.209248,0.8,1.4478,0.649332,1.232439,0.395037
2019-01-03 17:00:00,17,31.14,89.18,11.46,76.14,652.82,0.110123,0.8,1.598066,0.614284,1.171984,0.395484
2019-01-03 18:00:00,18,33.61,82.35,10.61,74.79,635.69,0.0,0.8,1.778434,0.436155,1.030064,0.404637
2019-01-03 19:00:00,19,31.58,89.53,9.03,73.27,0.0,0.0,0.8,1.568005,0.251514,0.788209,0.39926
2019-01-03 20:00:00,20,31.45,84.36,9.88,75.09,0.0,0.0,0.8,1.247551,0.175882,0.512484,0.399613
2019-01-03 21:00:00,21,33.88,85.44,10.48,80.41,0.0,0.0,0.8,1.235496,0.084195,0.381716,0.402973
2019-01-03 22:00:00,22,34.35,85.82,9.04,75.13,0.0,0.0,0.8,1.059539,0.085894,0.264972,0.39319
2019-01-03 23:00:00,23,31.23,80.67,8.97,81.41,0.0,0.0,0.787573,0.899113,0.086006,0.243576,0.394882
2019-01-04 00:00:00,0,26.23,91.13,10.97,46.11,0.0,0.0,0.8,0.626384,0.082049,0.256853,0.396465
2019-01-04 01:00:00,1,28.3,94.23,10.82,54.65,0.0,0.0,0.8,0.4931,0.084326,0.265282,0.399616
2019-01-04 02:00:00,2,29.12,90.53,9.64,52.57,0.0,0.0,0.8,0.473624,0.083509,0.255075,0.40213
2019-01-04 03:00:00,3,27.13,95.37,10.21,46.2,0.0,0.0,0.8,0.502854,0.085103,0.253074,0.394659
2019-01-04 04:00:00,4,28.97,97.53,10.81,52.21,0.0,0.0,0.8,0.639828,0.085081,0.389583,0.400535
2019-01-04 05:00:00,5,28.83,92.44,11.34,55.0,0.0,0.0,0.8,0.84349,0.168607,0.772512,0.397936
2019-01-04 06:00:00,6,28.42,91.77,9.73,46.05,584.43,0.0,0.8,1.161257,0.336194,1.014166,0.392281
2019-01-04 07:00:00,7,27.31,95.73,11.58,51.44,538.1,0.115539,0.8,1.384266,0.589368,1.16335,0.397266
2019-01-04 08:00:00,8,27.96,95.74,11.85,55.13,591.63,0.237567,0.8,1.136558,0.769087,1.254204,0.396781
2019-01-04 09:00:00,9,27.22,91.8,10.45,45.46,613.57,0.378614,0.8,0.958961,0.846285,1.248179,0.396698
2019-01-04 10:00:00,10,29.82,94.14,11.81,46.96,613.92,0.458257,0.8,0.893,0.880832,1.239573,0.400296
2019-01-04 11:00:00,11,26.78,97.26,11.45,45.86,611.71,0.513927,0.8,0.891557,0.833992,1.244367,0.401886
2019-01-04 12:00:00,12,26.93,94.84,12.04,51.09,523.95,0.436021,0.8,0.857996,0.857939,1.238183,0.400419
2019-01-04 13:00:00,13,27.08,96.7,11.88,46.1,536.82,0.45014,0.8,0.84217,0.862753,1.32797,0.397877
2019-01-04 14:00:00,14,28.75,95.13,11.39,54.07,594.54,0.417414,0.8,1.031926,0.85831,1.282068,0.40343
2019-01-04 15:00:00,15,29.05,91.05,12.52,54.0,517.73,0.296961,0.8,1.235815,0.745494,1.272442,0.398427
2019-01-04 16:00:00,16,26.06,92.34,11.82,55.1,577.98,0.232147,0.8,1.417157,0.67145,1.260296,0.398394
