timestamp,voltage_r,voltage_y,voltage_b,current,power_factor,active_power_kw,reactive_power_kvar,kwh_15min
2025-01-01T00:00:00Z,401.91,406.66,406.34,938.35,0.7472,491.78,437.44,122.95
2025-01-01T00:15:00Z,395.45,400.51,406.58,955.58,0.7881,522.85,408.4,130.71
2025-01-01T00:30:00Z,398.63,397.01,399.21,952.29,0.78,512.38,411.12,128.1
2025-01-01T00:45:00Z,396.14,400.5,406.93,944.36,0.7387,484.75,442.3,121.19
2025-01-01T01:00:00Z,407.68,410.64,415.3,947.7,0.7334,495.06,458.82,123.77
2025-01-01T01:15:00Z,392.4,396.27,401.09,943.23,0.7066,457.84,458.45,114.46
2025-01-01T01:30:00Z,405.04,410.68,410.19,950.84,0.7301,491.38,459.85,122.84
2025-01-01T01:45:00Z,399.55,403.44,404.98,922.15,0.7414,476.82,431.57,119.21
2025-01-01T02:00:00Z,402.66,405.31,409.34,940.52,0.7784,514.52,414.97,128.63
2025-01-01T02:15:00Z,397.55,399.97,404.7,938.64,0.7213,469.91,451.28,117.48
2025-01-01T02:30:00Z,391.89,394.45,396.47,978.28,0.7824,522.72,416.02,130.68
2025-01-01T02:45:00Z,402.46,407.91,412.71,962.88,0.7681,522.25,435.39,130.56
2025-01-01T03:00:00Z,411.78,413.79,415.74,949.7,0.7377,502.07,459.54,125.52
2025-01-01T03:15:00Z,396.03,396.74,400.38,960.25,0.7154,473.21,462.2,118.3
2025-01-01T03:30:00Z,405.55,410.13,414.03,944.04,0.7795,522.44,419.86,130.61
2025-01-01T03:45:00Z,398.18,398.47,404.56,979.09,0.7089,481.34,478.93,120.34
2025-01-01T04:00:00Z,402.62,406.46,413.87,969.5,0.7608,520.81,444.24,130.2
2025-01-01T04:15:00Z,402.6,404.45,406.47,948.21,0.7,465.07,474.41,116.27
2025-01-01T04:30:00Z,394.6,398.5,403.74,969.95,0.7084,474.77,473.08,118.69
2025-01-01T04:45:00Z,395.32,400.23,401.55,954.78,0.7268,479.62,453.23,119.9
2025-01-01T05:00:00Z,395.09,398.11,402.62,1084.61,0.7242,542.32,516.35,135.58
2025-01-01T05:15:00Z,386.42,390.93,390.77,1093.95,0.7603,560.9,479.28,140.22
2025-01-01T05:30:00Z,397.57,403.95,405.87,1000.45,0.7112,495.99,490.27,124.0
2025-01-01T05:45:00Z,385.85,391.2,394.45,1096.55,0.7974,591.4,447.58,147.85
2025-01-01T06:00:00Z,398.9,402.43,401.89,1407.81,0.6358,621.75,754.89,155.44
2025-01-01T06:15:00Z,380.0,380.0,380.59,1813.34,0.6562,783.62,901.03,195.9
2025-01-01T06:30:00Z,384.55,387.93,394.26,1390.28,0.7983,747.65,563.99,186.91
2025-01-01T06:45:00Z,403.12,406.54,409.88,1280.45,0.7706,694.74,574.59,173.69
2025-01-01T07:00:00Z,409.56,412.0,411.43,1710.01,0.6403,779.42,935.06,194.86
2025-01-01T07:15:00Z,407.64,408.51,411.28,1688.64,0.6504,778.36,908.93,194.59
2025-01-01T07:30:00Z,398.99,403.28,410.6,1530.83,0.8022,859.99,639.96,215.0
2025-01-01T07:45:00Z,395.58,400.99,404.38,1686.84,0.8443,987.54,626.69,246.89
2025-01-01T08:00:00Z,396.25,396.94,398.43,1939.35,0.8696,1160.29,658.72,290.07
2025-01-01T08:15:00Z,384.49,389.29,393.88,1885.67,0.8818,1120.99,599.51,280.25
2025-01-01T08:30:00Z,380.0,380.0,380.0,1904.56,0.8808,1104.06,593.65,276.01
2025-01-01T08:45:00Z,380.44,387.02,391.05,1845.43,0.8669,1070.11,615.19,267.53
2025-01-01T09:00:00Z,380.0,382.23,384.83,1818.27,0.9023,1086.53,519.09,271.63
2025-01-01T09:15:00Z,380.0,380.0,380.0,1901.06,0.8925,1116.68,564.48,279.17
2025-01-01T09:30:00Z,380.0,384.62,383.6,1835.18,0.9043,1100.12,519.44,275.03
2025-01-01T09:45:00Z,380.89,380.54,384.86,1885.81,0.9133,1139.81,508.4,284.95
2025-01-01T10:00:00Z,380.74,380.47,382.71,1828.99,0.9089,1097.86,503.83,274.47
2025-01-01T10:15:00Z,380.33,382.16,383.26,1883.39,0.8943,1114.21,557.41,278.55
2025-01-01T10:30:00Z,389.1,394.84,399.36,1988.96,0.8855,1203.17,631.46,300.79
2025-01-01T10:45:00Z,380.0,380.0,380.0,1897.63,0.8829,1102.67,586.57,275.67
2025-01-01T11:00:00Z,389.0,395.89,395.78,1939.06,0.8916,1178.51,598.51,294.63
2025-01-01T11:15:00Z,389.2,391.06,393.8,1955.35,0.8728,1156.88,646.81,289.22
2025-01-01T11:30:00Z,387.09,392.01,393.73,1945.25,0.904,1190.72,563.17,297.68
2025-01-01T11:45:00Z,380.0,380.0,380.0,1860.34,0.8832,1081.4,574.3,270.35
2025-01-01T12:00:00Z,399.63,403.3,405.23,1604.17,0.8358,935.19,614.41,233.8
2025-01-01T12:15:00Z,406.86,408.67,412.07,1495.1,0.7971,844.66,639.87,211.16
2025-01-01T12:30:00Z,391.25,392.88,398.99,1545.7,0.7938,838.08,642.18,209.52
2025-01-01T12:45:00Z,393.01,396.03,398.46,1558.95,0.8385,896.16,582.47,224.04
2025-01-01T13:00:00Z,386.68,393.38,397.01,2149.6,0.7185,1049.56,1016.1,262.39
2025-01-01T13:15:00Z,382.54,385.95,385.5,1949.8,0.6478,841.57,989.62,210.39
2025-01-01T13:30:00Z,394.3,398.6,403.26,1790.24,0.9288,1148.31,458.2,287.08
2025-01-01T13:45:00Z,402.83,404.28,406.06,1744.7,0.8456,1033.31,652.4,258.33
2025-01-01T14:00:00Z,380.0,384.2,389.94,1931.07,0.8636,1111.24,648.76,277.81
2025-01-01T14:15:00Z,384.97,391.01,393.6,1899.98,0.889,1140.56,587.49,285.14
2025-01-01T14:30:00Z,404.6,407.66,411.84,1795.76,0.9124,1157.93,519.51,289.48
2025-01-01T14:45:00Z,409.4,410.87,411.13,1796.18,0.8779,1121.04,611.53,280.26
2025-01-01T15:00:00Z,380.0,380.0,381.64,1932.98,0.8842,1126.57,595.08,281.64
2025-01-01T15:15:00Z,390.92,396.54,395.43,1855.07,0.8891,1126.39,579.91,281.6
2025-01-01T15:30:00Z,385.18,389.76,391.55,1945.19,0.9242,1210.77,500.22,302.69
2025-01-01T15:45:00Z,388.73,390.88,394.24,1943.13,0.8611,1133.94,669.63,283.48
2025-01-01T16:00:00Z,389.41,390.41,394.15,1879.2,0.9283,1182.36,473.63,295.59
2025-01-01T16:15:00Z,380.0,382.34,383.91,1968.46,0.8846,1152.31,607.63,288.08
2025-01-01T16:30:00Z,395.44,394.86,399.28,1919.08,0.8725,1149.92,644.13,287.48
2025-01-01T16:45:00Z,384.45,388.76,390.82,1932.69,0.9279,1205.28,484.14,301.32
2025-01-01T17:00:00Z,388.4,393.28,393.24,1750.61,0.8343,990.68,654.76,247.67
2025-01-01T17:15:00Z,389.05,394.9,395.7,1813.82,0.9012,1113.23,535.52,278.31
2025-01-01T17:30:00Z,393.06,397.59,401.28,1878.86,0.9299,1202.28,475.7,300.57
2025-01-01T17:45:00Z,380.0,380.0,380.0,1853.75,0.8821,1076.3,574.65,269.08
