timestamp,voltage_r,voltage_y,voltage_b,current,power_factor,active_power_kw,reactive_power_kvar,kwh_15min
2025-01-01T00:00:00Z,408.57,410.49,410.66,35.71,0.9063,22.98,10.71,5.74
2025-01-01T00:15:00Z,402.54,408.55,410.23,28.68,0.9357,18.92,7.13,4.73
2025-01-01T00:30:00Z,396.44,398.18,401.36,37.51,0.9062,23.47,10.95,5.87
2025-01-01T00:45:00Z,402.75,406.16,408.71,34.59,0.9055,22.02,10.32,5.5
2025-01-01T01:00:00Z,404.32,409.46,412.78,27.44,0.907,17.62,8.18,4.41
2025-01-01T01:15:00Z,399.67,407.07,406.66,31.86,0.9345,20.86,7.94,5.22
2025-01-01T01:30:00Z,174.77,176.98,176.56,77.75,0.9295,22.04,8.75,5.51
2025-01-01T01:45:00Z,404.27,408.8,413.24,34.36,0.9322,22.68,8.81,5.67
2025-01-01T02:00:00Z,406.37,410.27,414.86,27.16,0.9066,17.51,8.15,4.38
2025-01-01T02:15:00Z,411.01,415.29,415.1,33.31,0.9091,21.71,9.94,5.43
2025-01-01T02:30:00Z,397.7,401.24,407.77,38.14,0.9,23.92,11.58,5.98
2025-01-01T02:45:00Z,403.86,411.54,412.56,34.23,0.92,22.33,9.51,5.58
2025-01-01T03:00:00Z,394.94,396.6,396.61,30.1,0.925,19.1,7.84,4.77
2025-01-01T03:15:00Z,412.68,414.79,416.43,35.27,0.9017,22.84,10.95,5.71
2025-01-01T03:30:00Z,402.7,407.45,407.53,29.21,0.9,18.48,8.95,4.62
2025-01-01T03:45:00Z,405.36,405.33,409.05,29.41,0.9022,18.68,8.93,4.67
2025-01-01T04:00:00Z,392.68,395.87,398.55,33.0,0.9304,21.04,8.29,5.26
2025-01-01T04:15:00Z,405.52,406.81,412.17,29.94,0.9373,19.84,7.38,4.96
2025-01-01T04:30:00Z,409.94,417.42,419.28,27.57,0.9,17.86,8.65,4.46
2025-01-01T04:45:00Z,392.19,397.16,400.16,30.59,0.9115,19.15,8.64,4.79
2025-01-01T05:00:00Z,401.79,406.15,413.09,29.29,0.9157,18.91,8.3,4.73
2025-01-01T05:15:00Z,395.46,400.16,400.98,33.7,0.9147,21.3,9.41,5.32
2025-01-01T05:30:00Z,391.03,392.56,397.36,28.97,0.9272,18.32,7.4,4.58
2025-01-01T05:45:00Z,394.67,397.49,400.73,34.37,0.9099,21.54,9.82,5.38
2025-01-01T06:00:00Z,399.59,401.28,405.35,33.37,0.9172,21.31,9.26,5.33
2025-01-01T06:15:00Z,411.47,412.8,414.83,41.22,0.9169,27.04,11.77,6.76
2025-01-01T06:30:00Z,404.5,408.74,411.53,46.38,0.9207,30.2,12.8,7.55
2025-01-01T06:45:00Z,399.02,403.79,406.96,61.82,0.9,38.86,18.82,9.72
2025-01-01T07:00:00Z,399.83,400.32,407.34,68.24,0.9272,44.11,17.82,11.03
2025-01-01T07:15:00Z,403.61,404.65,409.82,58.69,0.937,38.68,14.42,9.67
2025-01-01T07:30:00Z,395.8,398.4,401.11,87.87,0.9587,58.13,17.25,14.53
2025-01-01T07:45:00Z,399.44,399.25,401.07,96.49,0.9484,63.39,21.19,15.85
2025-01-01T08:00:00Z,388.13,394.14,396.59,97.59,0.9721,64.57,15.59,16.14
2025-01-01T08:15:00Z,391.56,393.5,396.89,157.8,0.948,102.08,34.27,25.52
2025-01-01T08:30:00Z,395.38,394.95,400.09,186.84,0.9568,122.86,37.36,30.71
2025-01-01T08:45:00Z,393.48,395.89,395.72,152.17,0.9421,98.09,34.92,24.52
2025-01-01T09:00:00Z,380.88,383.36,385.45,235.77,0.9487,148.46,49.5,37.12
2025-01-01T09:15:00Z,380.0,380.0,380.0,246.42,0.9369,151.96,56.68,37.99
